date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,0,1,0.0000,0.0000,0,100.0,,
2024-04-23,6,1,0.0622,0.1980,2185,0.0,0.130;0.098;0.071;0.070;0.069;0.067,1.5;9.2;8.7;28.9;38.2;13.5
2024-04-30,0,1,0.0000,0.0000,0,100.0,,
2024-05-10,0,1,0.0000,0.0000,0,100.0,,
2024-05-13,8,1,0.0697,0.1784,2185,0.0,0.147;0.117;0.106;0.103;0.098;0.092;0.090;0.077,1.7;7.4;13.0;13.6;5.5;23.1;28.8;6.8
2024-05-20,11,1,0.0761,0.2087,2156,1.3,0.202;0.183;0.164;0.160;0.159;0.150;0.147;0.133;0.130;0.129;0.126,1.4;14.0;19.2;7.5;5.4;10.1;20.5;6.6;7.1;2.9;5.1
2024-05-23,0,1,0.0000,0.0000,0,100.0,,
2024-05-28,0,1,0.0000,0.0000,0,100.0,,
2024-05-30,0,1,0.0000,0.0000,0,100.0,,
2024-06-04,9,1,0.3089,0.3591,2185,0.0,0.481;0.429;0.415;0.386;0.352;0.308;0.274;0.175;0.172,39.7;24.1;4.8;13.1;5.1;4.0;2.7;3.4;2.9
2024-06-07,12,1,0.3258,0.1915,2185,0.0,0.480;0.460;0.460;0.446;0.441;0.391;0.386;0.376;0.346;0.310;0.270;0.154,10.4;23.9;8.5;15.3;7.6;9.3;7.1;2.2;3.1;2.6;4.2;5.8
2024-06-09,5,1,0.2836,0.1958,874,60.0,0.440;0.425;0.388;0.300;0.157,31.7;4.0;43.6;10.1;10.6
2024-06-12,0,1,0.0000,0.0000,0,100.0,,
2024-06-17,0,1,0.0000,0.0000,0,100.0,,
2024-06-19,0,1,0.0000,0.0000,0,100.0,,
2024-06-22,0,1,0.0000,0.0000,0,100.0,,
2024-06-24,0,1,0.0000,0.0000,0,100.0,,
2024-06-27,8,1,0.2755,0.2037,2185,0.0,0.610;0.599;0.599;0.519;0.507;0.451;0.367;0.335,37.3;24.0;18.8;6.4;3.9;6.8;0.5;2.3
2024-06-29,0,1,0.0000,0.0000,0,100.0,,
2024-07-09,8,1,0.2465,0.1596,2185,0.0,0.563;0.559;0.547;0.530;0.493;0.485;0.409;0.317,25.5;43.8;12.4;5.3;6.4;5.2;0.9;0.5
2024-07-14,6,1,0.1183,0.2135,733,66.5,0.543;0.538;0.512;0.479;0.466;0.425,17.7;33.3;16.2;17.9;9.0;5.9
2024-07-17,0,1,0.0000,0.0000,0,100.0,,
2024-07-19,12,1,0.2630,0.1630,2185,0.0,0.540;0.539;0.537;0.512;0.488;0.472;0.453;0.447;0.418;0.412;0.331;0.277,20.0;7.6;11.5;22.2;7.0;3.4;2.5;12.8;4.0;6.5;1.3;1.1
2024-07-22,3,1,0.1906,0.3331,393,82.0,0.525;0.417;0.335,58.8;22.4;18.8
2024-07-29,9,1,0.2885,0.1919,2185,0.0,0.538;0.522;0.514;0.503;0.477;0.469;0.465;0.406;0.250,29.4;28.6;18.7;5.6;5.3;6.0;4.9;1.1;0.5
2024-08-11,8,1,0.3507,0.2844,2185,0.0,0.586;0.555;0.533;0.522;0.506;0.506;0.395;0.236,29.6;46.8;5.7;4.9;5.6;5.5;1.4;0.4
2024-08-13,9,1,0.2626,0.2349,2185,0.0,0.544;0.514;0.488;0.481;0.479;0.451;0.436;0.395;0.282,25.3;39.5;13.0;5.2;6.0;4.9;4.1;1.4;0.6
2024-08-16,11,1,0.2853,0.1505,2185,0.0,0.559;0.540;0.534;0.515;0.501;0.497;0.475;0.474;0.474;0.362;0.274,22.6;11.6;17.1;19.5;9.0;4.5;5.5;4.0;4.9;0.8;0.5
2024-08-21,0,1,0.0000,0.0000,0,100.0,,
2024-08-23,5,1,0.0996,0.2482,874,60.0,0.406;0.393;0.393;0.368;0.306,34.9;7.3;33.8;14.2;9.8
2024-08-26,8,1,0.2623,0.2123,848,61.2,0.440;0.434;0.431;0.411;0.390;0.301;0.289;0.177,32.8;10.8;10.1;15.8;7.8;5.1;10.3;7.3
2024-08-28,7,1,0.1599,0.2667,2185,0.0,0.507;0.471;0.450;0.447;0.441;0.412;0.347,36.9;36.6;5.6;4.8;8.6;5.7;1.7
2024-08-31,7,1,0.1611,0.2156,2185,0.0,0.490;0.456;0.436;0.425;0.409;0.391;0.329,33.2;36.8;6.0;13.3;6.8;3.1;0.7
2024-09-02,0,1,0.0000,0.0000,0,100.0,,
2024-09-05,7,1,0.0944,0.1598,2185,0.0,0.421;0.414;0.391;0.364;0.347;0.338;0.326,24.8;4.4;42.7;12.2;5.2;6.3;4.3
2024-09-07,7,1,0.1246,0.1573,2185,0.0,0.421;0.418;0.387;0.353;0.350;0.343;0.296,21.5;8.7;40.0;9.3;7.7;10.3;2.4
2024-09-15,0,1,0.0000,0.0000,0,100.0,,
