date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,0,1,0.0000,0.0000,0,100.0,,
2024-04-23,8,1,0.4280,0.1648,1641,0.0,0.483;0.481;0.446;0.434;0.375;0.200;0.074;0.055,36.3;10.1;13.5;6.8;6.2;6.3;8.8;12.0
2024-04-30,0,1,0.0000,0.0000,0,100.0,,
2024-05-10,7,1,0.3470,0.2879,1641,0.0,0.416;0.394;0.345;0.333;0.148;0.086;0.068,43.4;10.7;10.9;7.6;6.6;5.9;14.8
2024-05-13,7,1,0.4371,0.3173,1641,0.0,0.509;0.461;0.447;0.405;0.259;0.101;0.072,40.2;10.6;10.0;9.4;6.0;9.7;14.1
2024-05-20,0,1,0.0000,0.0000,0,100.0,,
2024-05-23,0,1,0.0000,0.0000,0,100.0,,
2024-05-28,0,1,0.0000,0.0000,0,100.0,,
2024-05-30,0,1,0.0000,0.0000,0,100.0,,
2024-06-04,10,1,0.2648,0.2203,1451,11.6,0.467;0.448;0.396;0.385;0.374;0.368;0.358;0.346;0.290;0.202,5.8;7.2;16.3;11.4;23.6;13.4;9.7;4.8;4.5;3.3
2024-06-07,10,1,0.1985,0.2202,1169,28.8,0.362;0.325;0.319;0.318;0.263;0.209;0.202;0.199;0.167;0.164,3.9;5.7;16.2;13.2;8.9;10.7;6.1;11.1;18.5;5.7
2024-06-09,0,1,0.0000,0.0000,0,100.0,,
2024-06-12,0,1,0.0000,0.0000,0,100.0,,
2024-06-17,0,1,0.0000,0.0000,0,100.0,,
2024-06-19,0,1,0.0000,0.0000,0,100.0,,
2024-06-22,0,1,0.0000,0.0000,0,100.0,,
2024-06-24,9,1,0.1721,0.2396,1641,0.0,0.420;0.409;0.383;0.352;0.342;0.342;0.313;0.295;0.248,10.8;10.9;6.5;24.6;17.7;4.9;9.4;11.8;3.5
2024-06-27,7,1,0.1882,0.3194,1079,34.2,0.478;0.424;0.382;0.364;0.339;0.331;0.290,17.3;11.0;10.2;23.8;19.8;12.3;5.5
2024-06-29,0,1,0.0000,0.0000,0,100.0,,
2024-07-09,7,1,0.3105,0.2117,1641,0.0,0.455;0.370;0.314;0.233;0.212;0.195;0.144,11.9;9.0;14.3;16.5;11.2;22.3;14.8
2024-07-14,11,1,0.3118,0.2132,1634,0.4,0.410;0.391;0.297;0.293;0.281;0.278;0.187;0.164;0.109;0.109;0.098,5.4;5.5;2.9;3.9;7.2;5.7;17.4;9.0;8.3;25.2;9.5
2024-07-17,0,1,0.0000,0.0000,4,99.8,,
2024-07-19,11,1,0.2739,0.2026,1602,2.4,0.372;0.359;0.359;0.245;0.189;0.163;0.159;0.113;0.112;0.100;0.098,9.4;3.5;10.2;7.5;2.9;11.5;5.7;9.4;5.1;13.7;21.2
2024-07-22,0,1,0.0000,0.0000,0,100.0,,
2024-07-29,6,1,0.3416,0.2877,1641,0.0,0.423;0.397;0.309;0.291;0.130;0.082,12.4;4.9;10.4;9.6;19.0;43.6
2024-08-11,6,1,0.3362,0.3125,1641,0.0,0.409;0.312;0.267;0.202;0.092;0.073,14.6;7.4;9.8;7.1;19.0;42.2
2024-08-13,7,1,0.2994,0.3121,1641,0.0,0.373;0.285;0.278;0.193;0.141;0.094;0.074,13.9;5.7;9.1;5.4;5.7;16.9;43.3
2024-08-16,0,1,0.0000,0.0000,3,99.8,,
2024-08-21,0,1,0.0000,0.0000,0,100.0,,
2024-08-23,0,1,0.0000,0.0000,0,100.0,,
2024-08-26,10,1,0.2835,0.3192,1492,9.1,0.348;0.290;0.235;0.171;0.136;0.097;0.092;0.090;0.076;0.065,8.9;5.2;9.3;6.2;7.2;4.9;12.3;12.0;12.8;21.2
2024-08-28,10,1,0.2622,0.3009,1641,0.0,0.335;0.293;0.258;0.204;0.158;0.147;0.099;0.094;0.078;0.073,8.3;6.2;7.0;3.7;6.0;7.9;10.8;4.7;30.1;15.3
2024-08-31,11,1,0.2659,0.2139,1641,0.0,0.344;0.272;0.268;0.236;0.215;0.149;0.143;0.099;0.086;0.084;0.078,6.1;4.3;6.6;4.3;4.4;8.7;9.4;5.2;20.5;15.0;15.5
2024-09-02,0,1,0.0000,0.0000,0,100.0,,
2024-09-05,9,1,0.1979,0.1815,1641,0.0,0.266;0.209;0.209;0.158;0.147;0.096;0.084;0.071;0.068,9.1;3.0;7.9;8.7;10.7;10.9;6.5;17.4;25.8
2024-09-07,10,1,0.2061,0.2358,1641,0.0,0.277;0.221;0.218;0.201;0.161;0.148;0.102;0.092;0.073;0.071,5.7;4.5;2.9;8.0;7.1;9.8;4.3;11.3;10.5;35.8
2024-09-15,5,1,0.1140,0.3527,517,68.5,0.168;0.127;0.106;0.056;0.054,14.1;15.7;19.9;26.1;24.2
