date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,0,1,0.0000,0.0000,0,100.0,,
2024-04-23,14,1,0.4658,0.3216,2448,2.8,0.553;0.474;0.451;0.431;0.315;0.236;0.168;0.154;0.136;0.107;0.094;0.093;0.087;0.087,6.9;14.4;5.8;5.6;3.3;5.2;3.2;4.1;5.4;3.4;10.5;3.7;10.8;17.8
2024-04-30,10,1,0.3683,0.2571,2518,0.0,0.443;0.403;0.395;0.364;0.270;0.125;0.083;0.081;0.075;0.075,13.5;8.5;16.8;5.3;3.7;4.1;9.8;10.7;7.3;20.3
2024-05-10,12,1,0.4415,0.2537,2427,3.6,0.516;0.478;0.441;0.405;0.397;0.374;0.248;0.128;0.085;0.080;0.076;0.075,14.8;6.4;8.1;8.8;3.8;4.2;2.6;3.4;17.9;9.8;7.2;13.0
2024-05-13,9,1,0.4972,0.3361,2518,0.0,0.583;0.548;0.514;0.403;0.310;0.140;0.088;0.088;0.085,13.7;9.0;16.4;5.1;3.5;4.2;10.6;22.7;14.8
2024-05-20,0,1,0.0000,0.0000,3,99.9,,
2024-05-23,0,1,0.0000,0.0000,0,100.0,,
2024-05-28,2,1,0.1337,0.3908,246,90.2,0.360;0.226,65.0;35.0
2024-05-30,0,1,0.0000,0.0000,0,100.0,,
2024-06-04,0,1,0.0000,0.0000,0,100.0,,
2024-06-07,0,1,0.0000,0.0000,0,100.0,,
2024-06-09,0,1,0.0000,0.0000,0,100.0,,
2024-06-12,0,1,0.0000,0.0000,0,100.0,,
2024-06-17,0,1,0.0000,0.0000,0,100.0,,
2024-06-19,0,1,0.0000,0.0000,0,100.0,,
2024-06-22,0,1,0.0000,0.0000,0,100.0,,
2024-06-24,0,1,0.0000,0.0000,0,100.0,,
2024-06-27,13,1,0.3074,0.3272,2518,0.0,0.572;0.558;0.506;0.502;0.470;0.413;0.395;0.372;0.368;0.353;0.332;0.316;0.265,16.1;17.4;5.3;4.8;6.5;5.9;9.5;4.6;3.3;4.0;4.5;15.8;2.4
2024-06-29,0,1,0.0000,0.0000,0,100.0,,
2024-07-09,8,1,0.5087,0.4038,2518,0.0,0.625;0.559;0.418;0.309;0.178;0.160;0.132;0.116,35.3;9.0;5.3;5.1;11.2;17.1;9.1;7.9
2024-07-14,9,1,0.4058,0.3401,1728,31.4,0.497;0.439;0.400;0.285;0.140;0.127;0.105;0.103;0.091,24.5;11.5;8.0;7.4;5.6;4.5;16.8;10.9;10.7
2024-07-17,0,1,0.0000,0.0000,0,100.0,,
2024-07-19,4,1,0.3028,0.4696,487,80.7,0.403;0.307;0.102;0.100,52.6;14.8;16.4;16.2
2024-07-22,7,1,0.5121,0.3902,2518,0.0,0.605;0.520;0.318;0.125;0.110;0.095;0.093,34.0;10.7;8.3;5.8;8.3;13.3;19.7
2024-07-29,7,1,0.4847,0.4650,2518,0.0,0.566;0.441;0.186;0.102;0.084;0.082;0.081,37.2;11.6;9.1;5.5;8.3;13.6;14.7
2024-08-11,7,1,0.4862,0.2682,2518,0.0,0.567;0.501;0.373;0.181;0.097;0.082;0.081,34.9;7.7;6.9;7.3;8.5;19.6;15.2
2024-08-13,7,1,0.4375,0.3670,2518,0.0,0.517;0.462;0.357;0.204;0.104;0.081;0.080,34.4;7.8;6.7;5.2;9.5;20.9;15.5
2024-08-16,13,1,0.4275,0.2449,1746,30.7,0.500;0.473;0.405;0.394;0.355;0.301;0.283;0.244;0.220;0.187;0.120;0.085;0.072,12.7;11.2;4.9;4.4;4.5;1.8;3.6;3.7;6.5;13.0;6.5;13.5;13.8
2024-08-21,0,1,0.0000,0.0000,0,100.0,,
2024-08-23,0,1,0.0000,0.0000,0,100.0,,
2024-08-26,7,1,0.4571,0.2792,2518,0.0,0.524;0.456;0.303;0.126;0.075;0.073;0.067,36.7;7.6;8.3;5.4;3.1;10.0;29.0
2024-08-28,8,1,0.4386,0.2415,2518,0.0,0.516;0.465;0.327;0.127;0.115;0.082;0.078;0.078,34.5;8.7;9.3;5.6;5.5;3.3;13.0;20.2
2024-08-31,6,1,0.4051,0.2510,2518,0.0,0.488;0.446;0.302;0.112;0.088;0.082,28.0;14.6;11.0;11.3;12.4;22.7
2024-09-02,0,1,0.0000,0.0000,0,100.0,,
2024-09-05,8,1,0.3569,0.2491,2518,0.0,0.432;0.413;0.295;0.126;0.119;0.082;0.081;0.076,17.0;24.3;10.6;4.1;6.4;2.9;11.7;22.9
2024-09-07,9,1,0.3333,0.1901,2518,0.0,0.415;0.374;0.350;0.232;0.116;0.095;0.089;0.086;0.082,33.4;6.2;6.0;9.0;5.8;3.8;2.6;10.4;22.8
2024-09-15,10,1,0.2733,0.4289,1389,44.8,0.334;0.328;0.244;0.239;0.222;0.222;0.091;0.080;0.063;0.061,26.6;8.5;9.3;5.0;3.4;13.6;2.1;9.1;10.8;11.7
