date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,0,2,0.0000,0.0000,0,100.0,,
2024-04-23,5,2,0.4075,0.3889,540,64.6,0.478;0.461;0.176;0.126;0.070,15.0;8.9;9.1;22.8;44.3
2024-04-30,0,2,0.0000,0.0000,0,100.0,,
2024-05-10,0,2,0.0000,0.0000,0,100.0,,
2024-05-13,7,2,0.4086,0.2267,1524,0.0,0.514;0.392;0.322;0.201;0.117;0.109;0.106,30.7;6.6;9.4;6.2;12.1;10.4;24.7
2024-05-20,0,2,0.0000,0.0000,0,100.0,,
2024-05-23,0,2,0.0000,0.0000,0,100.0,,
2024-05-28,0,2,0.0000,0.0000,0,100.0,,
2024-05-30,13,2,0.2626,0.2108,1524,0.0,0.428;0.403;0.378;0.367;0.359;0.348;0.332;0.327;0.326;0.289;0.232;0.218;0.165,18.6;5.2;6.3;8.1;3.3;10.7;4.2;6.1;14.2;3.9;8.7;6.4;4.1
2024-06-04,0,2,0.0000,0.0000,0,100.0,,
2024-06-07,0,2,0.0000,0.0000,0,100.0,,
2024-06-09,11,2,0.2445,0.2422,1163,23.7,0.397;0.356;0.346;0.312;0.305;0.293;0.291;0.246;0.244;0.240;0.153,14.2;3.7;19.6;10.3;9.4;7.7;13.7;7.1;7.8;3.0;3.4
2024-06-12,0,2,0.0000,0.0000,0,100.0,,
2024-06-17,0,2,0.0000,0.0000,0,100.0,,
2024-06-19,0,2,0.0000,0.0000,0,100.0,,
2024-06-22,0,2,0.0000,0.0000,0,100.0,,
2024-06-24,0,2,0.0000,0.0000,0,100.0,,
2024-06-27,7,2,0.2449,0.4476,1524,0.0,0.552;0.484;0.434;0.370;0.329;0.314;0.307,24.5;11.7;8.9;16.3;32.5;3.9;2.2
2024-06-29,0,2,0.0000,0.0000,0,100.0,,
2024-07-09,6,2,0.3828,0.3979,1495,1.9,0.518;0.414;0.360;0.198;0.153;0.136,26.0;13.3;7.8;13.4;10.3;29.2
2024-07-14,8,2,0.4263,0.3829,1524,0.0,0.519;0.423;0.296;0.239;0.131;0.120;0.109;0.093,24.7;12.6;6.3;7.7;8.9;5.6;3.8;30.4
2024-07-17,6,2,0.5133,0.4103,1524,0.0,0.591;0.468;0.307;0.170;0.101;0.078,24.1;13.1;9.9;6.3;15.5;31.2
2024-07-19,5,2,0.2813,0.3233,533,65.0,0.370;0.226;0.122;0.115;0.089,7.3;9.0;18.8;19.3;45.6
2024-07-22,7,2,0.4759,0.4127,1524,0.0,0.567;0.477;0.326;0.299;0.149;0.102;0.091,20.5;12.9;7.8;5.4;8.1;16.1;29.1
2024-07-29,6,2,0.4603,0.3729,1524,0.0,0.531;0.447;0.298;0.157;0.092;0.070,23.2;14.0;9.6;7.2;11.4;34.7
2024-08-11,6,2,0.4305,0.2395,1524,0.0,0.517;0.413;0.263;0.138;0.112;0.086,24.1;13.2;12.7;5.8;12.5;31.8
2024-08-13,6,2,0.3720,0.2878,1524,0.0,0.459;0.385;0.278;0.156;0.113;0.087,22.6;12.1;11.8;7.6;11.7;34.1
2024-08-16,6,2,0.3915,0.2178,1524,0.0,0.471;0.386;0.275;0.128;0.107;0.080,22.8;12.1;12.5;16.4;3.7;32.5
2024-08-21,0,2,0.0000,0.0000,0,100.0,,
2024-08-23,0,2,0.0000,0.0000,0,100.0,,
2024-08-26,8,2,0.3272,0.2789,1448,5.0,0.421;0.379;0.317;0.269;0.160;0.145;0.099;0.094,24.0;8.6;10.2;4.8;12.3;5.0;12.6;22.5
2024-08-28,5,2,0.2783,0.2575,1524,0.0,0.386;0.251;0.217;0.157;0.108,32.2;13.0;5.2;12.3;37.3
2024-08-31,8,2,0.2886,0.2708,1524,0.0,0.377;0.319;0.284;0.212;0.140;0.118;0.099;0.088,26.2;9.0;5.6;6.8;16.3;2.6;6.4;27.0
2024-09-02,0,2,0.0000,0.0000,0,100.0,,
2024-09-05,5,2,0.2182,0.2791,1524,0.0,0.291;0.159;0.144;0.104;0.072,38.0;12.3;4.9;16.4;28.5
2024-09-07,7,2,0.1903,0.2042,1524,0.0,0.267;0.255;0.212;0.145;0.091;0.078;0.076,24.3;10.5;7.0;9.6;16.5;8.9;23.1
2024-09-15,0,2,0.0000,0.0000,0,100.0,,
