date,k_single_date,k_temporal,ndvi_spread,silhouette,n_valid_pixels,cloud %,cluster_ndvi_means,cluster_pcts
2024-04-08,2,1,0.0208,0.2925,260,85.2,0.108;0.087,47.7;52.3
2024-04-23,8,1,0.1247,0.2201,1759,0.0,0.184;0.182;0.103;0.070;0.066;0.062;0.060;0.059,2.6;5.7;9.4;6.0;13.4;14.3;24.7;23.9
2024-04-30,6,1,0.0945,0.2324,1759,0.0,0.153;0.089;0.080;0.064;0.059;0.058,6.4;10.6;8.5;28.1;13.9;32.5
2024-05-10,10,1,0.1255,0.2121,1759,0.0,0.181;0.141;0.115;0.075;0.074;0.069;0.062;0.058;0.057;0.056,3.4;2.1;6.1;7.3;8.2;4.8;17.6;23.9;11.9;14.6
2024-05-13,7,1,0.0828,0.1952,1759,0.0,0.148;0.133;0.090;0.070;0.068;0.068;0.065,2.7;4.7;10.8;26.4;28.1;11.3;16.0
2024-05-20,0,1,0.0000,0.0000,0,100.0,,
2024-05-23,4,1,0.0657,0.3645,496,71.8,0.177;0.122;0.118;0.111,11.7;38.9;25.6;23.8
2024-05-28,0,1,0.0000,0.0000,0,100.0,,
2024-05-30,0,1,0.0000,0.0000,0,100.0,,
2024-06-04,5,1,0.1096,0.2913,597,66.1,0.308;0.274;0.265;0.234;0.199,28.6;17.6;21.9;15.6;16.2
2024-06-07,8,1,0.2494,0.2618,1759,0.0,0.376;0.321;0.264;0.213;0.210;0.163;0.140;0.127,6.4;21.3;20.8;14.9;3.9;7.8;13.0;12.0
2024-06-09,0,1,0.0000,0.0000,67,96.2,,
2024-06-12,0,1,0.0000,0.0000,0,100.0,,
2024-06-17,0,1,0.0000,0.0000,0,100.0,,
2024-06-19,0,1,0.0000,0.0000,0,100.0,,
2024-06-22,0,1,0.0000,0.0000,0,100.0,,
2024-06-24,6,1,0.2478,0.3101,1759,0.0,0.437;0.357;0.320;0.255;0.192;0.190,23.8;4.7;25.1;9.8;18.3;18.2
2024-06-27,0,1,0.0000,0.0000,20,98.9,,
2024-06-29,0,1,0.0000,0.0000,0,100.0,,
2024-07-09,7,1,0.2864,0.3401,1759,0.0,0.569;0.465;0.453;0.393;0.371;0.360;0.283,24.7;22.3;10.6;13.5;14.1;7.2;7.6
2024-07-14,10,1,0.3291,0.3296,1759,0.0,0.580;0.522;0.488;0.451;0.442;0.399;0.384;0.369;0.310;0.251,16.9;17.6;2.5;13.0;16.9;6.7;8.9;8.8;5.9;2.8
2024-07-17,8,1,0.2771,0.3830,1759,0.0,0.544;0.470;0.441;0.434;0.406;0.360;0.336;0.267,26.0;20.4;16.0;7.3;13.4;6.5;6.8;3.7
2024-07-19,0,1,0.0000,0.0000,0,100.0,,
2024-07-22,0,1,0.0000,0.0000,0,100.0,,
2024-07-29,7,1,0.2300,0.3464,1759,0.0,0.548;0.467;0.440;0.430;0.406;0.349;0.318,21.5;24.9;6.6;18.7;16.2;6.5;5.5
2024-08-11,8,1,0.2480,0.3354,1759,0.0,0.567;0.510;0.471;0.467;0.461;0.402;0.391;0.319,17.3;22.7;9.6;16.4;17.7;8.4;5.0;3.0
2024-08-13,6,1,0.2053,0.3482,1759,0.0,0.518;0.454;0.413;0.410;0.391;0.313,17.7;27.5;19.2;16.2;13.3;6.1
2024-08-16,0,1,0.0000,0.0000,0,100.0,,
2024-08-21,0,1,0.0000,0.0000,0,100.0,,
2024-08-23,0,1,0.0000,0.0000,0,100.0,,
2024-08-26,0,1,0.0000,0.0000,0,100.0,,
2024-08-28,5,1,0.1251,0.3599,1759,0.0,0.437;0.430;0.389;0.358;0.312,19.9;20.8;10.2;32.0;17.1
2024-08-31,7,1,0.1334,0.3280,1759,0.0,0.415;0.411;0.356;0.354;0.348;0.302;0.281,21.3;13.1;8.7;4.5;20.4;18.8;13.1
2024-09-02,0,1,0.0000,0.0000,0,100.0,,
2024-09-05,7,1,0.1973,0.2490,1759,0.0,0.310;0.252;0.221;0.208;0.181;0.146;0.112,21.0;16.1;22.9;3.1;10.9;11.0;15.0
2024-09-07,9,1,0.1692,0.1864,1759,0.0,0.265;0.227;0.215;0.189;0.185;0.175;0.141;0.115;0.095,13.1;19.4;6.3;13.9;11.1;4.1;12.2;8.7;11.2
2024-09-15,7,1,0.1272,0.1772,1759,0.0,0.190;0.170;0.148;0.122;0.097;0.088;0.063,5.1;14.0;28.3;22.9;7.0;11.4;11.2
